slug,code_commune,nom_ville,code_postal,note_globale,environnement,transports,securite,sante,sports_et_loisirs,culture,enseignement,commerces,qualite_de_vie
forcalquier_4088,4088,Forcalquier,4300,7.85,8.8,5.6,7.9,6.0,7.2,7.5,6.7,7.0,8.6
manosque_4112,4112,Manosque,4100,4.68,5.58,4.9,3.16,5.21,5.24,5.18,5.53,4.85,4.4
les-mees_4116,4116,Les Mees,4190,5.65,6.33,6.0,6.67,3.33,5.67,5.67,6.33,5.0,5.67
oraison_4143,4143,Oraison,4700,6.99,7.43,5.29,6.86,6.14,6.43,6.43,7.0,6.86,7.43
pierrevert_4152,4152,Pierrevert,4860,7.66,8.2,5.4,7.2,7.4,7.6,6.8,7.4,7.0,8.2
sisteron_4209,4209,Sisteron,4200,5.29,6.59,3.0,5.36,4.23,5.27,5.27,5.27,4.23,5.68
villeneuve_4242,4242,Villeneuve,4180,,,,,,,,,,
briancon_5023,5023,Briancon,5100,6.65,7.5,4.33,7.0,6.35,7.88,5.6,5.88,5.93,7.0
embrun_5046,5046,Embrun,5200,6.95,8.19,4.48,7.48,5.84,7.52,4.77,6.68,6.0,7.52
gap_5061,5061,Gap,5000,5.93,6.84,5.11,5.85,5.06,7.09,5.36,5.24,5.36,6.11
laragne-monteglin_5070,5070,Laragne Monteglin,5300,6.98,6.0,5.0,7.4,5.2,6.4,6.4,6.8,7.6,7.6
antibes_6004,6004,Antibes,6600,6.05,4.77,4.97,5.09,6.63,6.89,6.64,6.37,6.23,6.16
beaulieu-sur-mer_6011,6011,Beaulieu Sur Mer,6310,8.5,6.86,7.71,8.71,8.57,8.43,8.43,7.86,8.57,8.86
beausoleil_6012,6012,Beausoleil,6240,4.05,2.92,5.25,3.5,4.92,5.08,4.42,4.42,5.58,3.58
biot_6018,6018,Biot,6410,7.47,6.67,6.5,8.5,7.0,6.67,7.67,7.83,7.33,7.67
cagnes-sur-mer_6027,6027,Cagnes Sur Mer,6800,5.83,4.78,5.48,5.67,7.21,6.23,5.45,6.24,6.2,5.74
cannes_6029,6029,Cannes,6400,5.75,5.63,5.3,5.73,6.33,5.88,5.31,5.59,6.6,5.71
le-cannet_6030,6030,Le Cannet,6110,6.35,5.63,5.74,7.26,7.04,6.63,6.56,6.81,6.48,6.19
